输入类型,reservoir规模,谱半径,泄漏率,ESN平均准确率,ESN准确率标准差,无reservoir地板准确率,ESN相对地板增益,随机水平准确率,折数,reservoir随机种子数,样本数,类别数
原始12维LPC(信息上界),16,1.0,1.0,0.9575,0.0061,0.9833,-0.0258,0.125,5,5,240,8
原始12维LPC(信息上界),32,1.0,1.0,0.9758,0.0116,0.9833,-0.0075,0.125,5,5,240,8
原始12维LPC(信息上界),64,1.0,1.0,0.9792,0.0065,0.9833,-0.0042,0.125,5,5,240,8
原始12维LPC(信息上界),128,1.0,1.0,0.9817,0.0042,0.9833,-0.0017,0.125,5,5,240,8
六位点连续得分,16,1.0,1.0,0.8067,0.0231,0.8292,-0.0225,0.125,5,5,240,8
六位点连续得分,32,1.0,1.0,0.83,0.0061,0.8292,0.0008,0.125,5,5,240,8
六位点连续得分,64,1.0,1.0,0.8483,0.0164,0.8292,0.0192,0.125,5,5,240,8
六位点连续得分,128,1.0,1.0,0.8667,0.0026,0.8292,0.0375,0.125,5,5,240,8
六位点top-1,16,1.0,1.0,0.5675,0.0238,0.5583,0.0092,0.125,5,5,240,8
六位点top-1,32,1.0,1.0,0.55,0.0264,0.5583,-0.0083,0.125,5,5,240,8
六位点top-1,64,1.0,1.0,0.5508,0.0113,0.5583,-0.0075,0.125,5,5,240,8
六位点top-1,128,1.0,1.0,0.5567,0.0086,0.5583,-0.0017,0.125,5,5,240,8
六位点top-2,16,1.0,1.0,0.67,0.021,0.7125,-0.0425,0.125,5,5,240,8
六位点top-2,32,1.0,1.0,0.6792,0.0156,0.7125,-0.0333,0.125,5,5,240,8
六位点top-2,64,1.0,1.0,0.6833,0.0037,0.7125,-0.0292,0.125,5,5,240,8
六位点top-2,128,1.0,1.0,0.6883,0.0085,0.7125,-0.0242,0.125,5,5,240,8
12位点top-1,16,1.0,1.0,0.7033,0.023,0.7583,-0.055,0.125,5,5,240,8
12位点top-1,32,1.0,1.0,0.7325,0.0145,0.7583,-0.0258,0.125,5,5,240,8
12位点top-1,64,1.0,1.0,0.73,0.0076,0.7583,-0.0283,0.125,5,5,240,8
12位点top-1,128,1.0,1.0,0.7467,0.0138,0.7583,-0.0117,0.125,5,5,240,8
12位点top-2,16,1.0,1.0,0.7875,0.0167,0.8833,-0.0958,0.125,5,5,240,8
12位点top-2,32,1.0,1.0,0.8458,0.0257,0.8833,-0.0375,0.125,5,5,240,8
12位点top-2,64,1.0,1.0,0.8667,0.0118,0.8833,-0.0167,0.125,5,5,240,8
12位点top-2,128,1.0,1.0,0.8917,0.0083,0.8833,0.0083,0.125,5,5,240,8
